행정동코드_최종,0순위_비분동확정,1순위_지번정밀,2순위_도로명근사,3순위_텍스트추정,총거래수,근사배정_건수,근사배정_비중,행정동명,자치구,교통비_커버리지
1129072500,478,84,746,0,1308,746,0.5703,월곡제2동,성북구,0.9109842142298552
1150062000,0,859,1115,22,1996,1137,0.5696,공항동,강서구,0.865154839225996
1150061100,48,186,298,6,538,304,0.5651,발산제1동,강서구,0.8872235620613934
1114062500,0,518,672,0,1190,672,0.5647,다산동,중구,0.909290080656648
1120056000,0,424,546,0,970,546,0.5629,행당제1동,성동구,0.931651033875284
1129059000,0,14,18,0,32,18,0.5625,돈암제2동,성북구,0.9642206305036394
1114052000,43,0,54,0,97,54,0.5567,소공동,중구,0.6245268306306857
1138055200,0,480,595,0,1075,595,0.5535,갈현제2동,은평구,0.9458603027578188
1147054000,0,420,520,0,940,520,0.5532,목4동,양천구,0.948069875610636
1147060000,0,224,271,0,495,271,0.5475,신월5동,양천구,0.9540124664317734
1153075000,0,314,375,0,689,375,0.5443,개봉제2동,구로구,0.95138591492578
1150056000,0,542,647,0,1189,647,0.5442,화곡제3동,강서구,0.9486051561313672
1123056000,0,1060,1224,14,2298,1238,0.5387,전농제1동,동대문구,0.903804487767307
1153078000,163,231,438,12,844,450,0.5332,오류제2동,구로구,0.8924438044256702
1141068500,0,536,600,2,1138,602,0.529,홍은제2동,서대문구,0.9517548941330968
1165065200,4,1024,1153,0,2181,1153,0.5287,양재2동,서초구,0.7494033403610654
1154568000,0,17,19,0,36,19,0.5278,시흥제2동,금천구,0.9086424805067654
1123053300,0,1192,1270,15,2477,1285,0.5188,용두동,동대문구,0.926687752682624
1141071000,0,68,59,14,141,73,0.5177,북가좌제1동,서대문구,0.929576377004206
1171064600,0,382,410,0,792,410,0.5177,장지동,송파구,0.9171827142672956
1130561500,0,818,867,7,1692,874,0.5165,수유1동,강북구,0.925587926238746
1138063100,0,567,592,9,1168,601,0.5146,신사제1동,은평구,0.947719661578296
1144056500,856,595,1511,10,2972,1521,0.5118,공덕동,마포구,0.918817610117496
1130560300,0,188,194,0,382,194,0.5079,번2동,강북구,0.95217620007087
1165060000,0,680,672,17,1369,689,0.5033,방배1동,서초구,0.90290624643551
1171056100,0,281,268,10,559,278,0.4973,방이1동,송파구,0.935005217245728
1165062100,0,570,553,0,1123,553,0.4924,방배4동,서초구,0.9087109899564072
1162069500,0,1730,1370,267,3367,1637,0.4862,신림동,관악구,0.961794350793516
1168067000,0,75,64,6,145,70,0.4828,개포2동,강남구,0.9200179776906492
1168058000,0,194,178,3,375,181,0.4827,삼성1동,강남구,0.6419496186993048
1174062000,0,1422,1313,0,2735,1313,0.4801,천호제3동,강동구,0.9439025139391216
1171062000,0,676,621,0,1297,621,0.4788,가락본동,송파구,0.8812717927056587
1171065000,0,2323,2114,0,4437,2114,0.4764,잠실본동,송파구,0.9059143266780246
1150059100,0,1330,1205,0,2535,1205,0.4753,화곡제6동,강서구,0.9162841048288748
1153056000,0,1628,1470,0,3098,1470,0.4745,구로제5동,구로구,0.8840256296621576
1153072000,0,470,417,7,894,424,0.4743,고척제1동,구로구,0.8978079593665536
1162059500,0,2767,2483,0,5250,2483,0.473,청룡동,관악구,0.9334641289496312
1120055000,1088,167,1085,37,2377,1122,0.472,사근동,성동구,0.8801305266257261
1171059000,0,277,247,0,524,247,0.4714,송파2동,송파구,0.9417622596799452
1132051200,0,576,510,0,1086,510,0.4696,창제2동,도봉구,0.9354664591677656
1168064000,0,2952,2571,33,5556,2604,0.4687,역삼1동,강남구,0.635698175002129
1168065600,0,87,75,0,162,75,0.463,도곡2동,강남구,0.917162075708074
1165065100,599,405,834,18,1856,852,0.4591,양재1동,서초구,0.7944477873047113
1168059000,0,747,623,0,1370,623,0.4547,삼성2동,강남구,0.8561645380321339
1168061000,0,326,270,0,596,270,0.453,대치2동,강남구,0.8523435934792093
1147052000,0,1014,835,0,1849,835,0.4516,목2동,양천구,0.9520460049524372
1117064000,0,34,28,0,62,28,0.4516,이촌제2동,용산구,0.9502007285728078
1150055000,0,467,377,0,844,377,0.4467,화곡제2동,강서구,0.9740418028287642
1135062500,0,58,46,0,104,46,0.4423,중계2.3동,노원구,0.9329400793161609
1159053000,2385,457,2121,83,5046,2204,0.4368,상도제1동,동작구,0.9327358278557876
1120069000,0,461,352,0,813,352,0.433,성수2가제3동,성동구,0.7711399959350578
1171056200,0,3007,2294,0,5301,2294,0.4327,방이2동,송파구,0.9156812748754452
1171058000,0,1837,1345,14,3196,1359,0.4252,송파1동,송파구,0.9353519345273106
1168065000,0,986,715,0,1701,715,0.4203,역삼2동,강남구,0.8562906627316631
1150063000,0,854,615,0,1469,615,0.4187,방화제1동,강서구,0.906934676159804
1154561000,0,2134,1481,10,3625,1491,0.4113,독산제1동,금천구,0.9083351492296996
1150054000,0,2248,1511,0,3759,1511,0.402,화곡제1동,강서구,0.9389358644859808
1165053000,0,1229,805,0,2034,805,0.3958,서초3동,서초구,0.7264629462881708
1138058000,0,995,630,13,1638,643,0.3926,응암제1동,은평구,0.9425303872493178
1150059000,0,1776,1134,0,2910,1134,0.3897,화곡본동,강서구,0.9517799410763644
1171064100,0,861,515,5,1381,520,0.3765,문정1동,송파구,0.9308431273210258
1132051500,0,492,296,0,788,296,0.3756,창제5동,도봉구,0.944563460825126
1171063200,0,764,432,0,1196,432,0.3612,가락2동,송파구,0.934494770742964
1135072000,0,32,2,16,50,18,0.36,상계10동,노원구,0.9631824603446378
1123065000,0,1420,774,7,2201,781,0.3548,장안제1동,동대문구,0.8753900239643213
