행정기관코드,시도,자치구,행정동,관측연도수,관측시작연도,관측종료연도,전체세대수,청년1인세대수,청년1인세대비중,저표본_여부
1174052600,서울특별시,강동구,상일제2동,3,2023,2025,15392.0,2235,14.52,일반
1174064000,서울특별시,강동구,성내제1동,3,2023,2025,24395.0,3269,13.4,일반
1174065000,서울특별시,강동구,성내제2동,3,2023,2025,40804.0,11607,28.45,일반
1174066000,서울특별시,강동구,성내제3동,3,2023,2025,31547.0,5582,17.69,일반
1174057000,서울특별시,강동구,암사제1동,3,2023,2025,47320.0,5962,12.6,일반
1174058000,서울특별시,강동구,암사제2동,3,2023,2025,18993.0,2553,13.44,일반
1174059000,서울특별시,강동구,암사제3동,3,2023,2025,18058.0,710,3.93,주의
1174060000,서울특별시,강동구,천호제1동,3,2023,2025,38190.0,5421,14.19,일반
1174061000,서울특별시,강동구,천호제2동,3,2023,2025,53879.0,11937,22.16,일반
1174062000,서울특별시,강동구,천호제3동,3,2023,2025,43649.0,12242,28.05,일반
1130553500,서울특별시,강북구,미아동,3,2023,2025,34729.0,7971,22.95,일반
1130559500,서울특별시,강북구,번1동,3,2023,2025,29138.0,7338,25.18,일반
1130560300,서울특별시,강북구,번2동,3,2023,2025,22105.0,2083,9.42,일반
1130560800,서울특별시,강북구,번3동,3,2023,2025,22630.0,998,4.41,일반
1130557500,서울특별시,강북구,삼각산동,3,2023,2025,34321.0,1021,2.97,일반
1130553400,서울특별시,강북구,삼양동,3,2023,2025,33503.0,3032,9.05,일반
1130554500,서울특별시,강북구,송중동,3,2023,2025,40530.0,6079,15.0,일반
1130555500,서울특별시,강북구,송천동,3,2023,2025,36659.0,4225,11.53,일반
1130561500,서울특별시,강북구,수유1동,3,2023,2025,30955.0,5280,17.06,일반
1130562500,서울특별시,강북구,수유2동,3,2023,2025,28968.0,3154,10.89,일반
1130563500,서울특별시,강북구,수유3동,3,2023,2025,40122.0,10726,26.73,일반
1130564500,서울특별시,강북구,우이동,3,2023,2025,28447.0,3006,10.57,일반
1130566000,서울특별시,강북구,인수동,3,2023,2025,41861.0,4262,10.18,일반
1150060300,서울특별시,강서구,가양제1동,3,2023,2025,62583.0,32410,51.79,일반
1150060400,서울특별시,강서구,가양제2동,3,2023,2025,23639.0,3738,15.81,일반
1150060500,서울특별시,강서구,가양제3동,3,2023,2025,22751.0,2784,12.24,일반
1150062000,서울특별시,강서구,공항동,3,2023,2025,40922.0,7897,19.3,일반
1150052000,서울특별시,강서구,등촌제1동,3,2023,2025,42715.0,16919,39.61,일반
1150053000,서울특별시,강서구,등촌제2동,3,2023,2025,25564.0,4638,18.14,일반
1150053500,서울특별시,강서구,등촌제3동,3,2023,2025,44950.0,5075,11.29,일반
1150061100,서울특별시,강서구,발산제1동,3,2023,2025,40440.0,2744,6.79,일반
1150063000,서울특별시,강서구,방화제1동,3,2023,2025,50578.0,5679,11.23,일반
1150064000,서울특별시,강서구,방화제2동,3,2023,2025,36559.0,7537,20.62,일반
1150064100,서울특별시,강서구,방화제3동,3,2023,2025,33144.0,3727,11.24,일반
1150051000,서울특별시,강서구,염창동,3,2023,2025,49792.0,9245,18.57,일반
1150061500,서울특별시,강서구,우장산동,3,2023,2025,50581.0,5950,11.76,일반
1150059000,서울특별시,강서구,화곡본동,3,2023,2025,51297.0,13661,26.63,일반
1150054000,서울특별시,강서구,화곡제1동,3,2023,2025,83293.0,24235,29.1,일반
1150055000,서울특별시,강서구,화곡제2동,3,2023,2025,24310.0,3803,15.64,일반
1150056000,서울특별시,강서구,화곡제3동,3,2023,2025,28719.0,5179,18.03,일반
1150057000,서울특별시,강서구,화곡제4동,3,2023,2025,28494.0,3771,13.23,일반
1150059100,서울특별시,강서구,화곡제6동,3,2023,2025,40122.0,11604,28.92,일반
1150059300,서울특별시,강서구,화곡제8동,3,2023,2025,34369.0,6448,18.76,일반
1162058500,서울특별시,관악구,낙성대동,3,2023,2025,36211.0,21358,58.98,일반
1162077500,서울특별시,관악구,난곡동,3,2023,2025,38048.0,6076,15.97,일반
1162071500,서울특별시,관악구,난향동,3,2023,2025,18332.0,980,5.35,일반
1162063000,서울특별시,관악구,남현동,3,2023,2025,29404.0,11304,38.44,일반
1162073500,서울특별시,관악구,대학동,3,2023,2025,52522.0,25753,49.03,일반
1162076500,서울특별시,관악구,미성동,3,2023,2025,42060.0,8055,19.15,일반
1162052500,서울특별시,관악구,보라매동,3,2023,2025,38480.0,12145,31.56,일반
1162074500,서울특별시,관악구,삼성동,3,2023,2025,28766.0,2146,7.46,일반
1162066500,서울특별시,관악구,서림동,3,2023,2025,45576.0,20223,44.37,일반
1162064500,서울특별시,관악구,서원동,3,2023,2025,45517.0,22581,49.61,일반
1162056500,서울특별시,관악구,성현동,3,2023,2025,37157.0,4280,11.52,일반
1162069500,서울특별시,관악구,신림동,3,2023,2025,56840.0,37797,66.5,일반
1162068500,서울특별시,관악구,신사동,3,2023,2025,43354.0,20089,46.34,일반
1162065500,서울특별시,관악구,신원동,3,2023,2025,33467.0,13807,41.26,일반
1162060500,서울특별시,관악구,은천동,3,2023,2025,47793.0,12014,25.14,일반
1162062500,서울특별시,관악구,인헌동,3,2023,2025,44126.0,18193,41.23,일반
1162072500,서울특별시,관악구,조원동,3,2023,2025,36765.0,15379,41.83,일반
1162061500,서울특별시,관악구,중앙동,3,2023,2025,30789.0,16157,52.48,일반
1162059500,서울특별시,관악구,청룡동,3,2023,2025,72660.0,40872,56.25,일반
